ID,fertilizer_price_index_all,fertilizer_price_index_nitrogen,fertilizer_price_index_phosphate,type
1895-07,1.923712875,9.047973363,1,predicted
1895-08,1.937857825,9.052507457,1,predicted
1895-09,1.952002774,9.057041551,1,predicted
1895-10,1.966147724,9.061575644,1,predicted
1895-11,1.980292674,9.066109738,1,predicted
1895-12,1.994437623,9.070643832,1,predicted
1896-01,2.008582573,9.075177925,1,predicted
1896-02,2.022727523,9.079712019,1,predicted
1896-03,2.036872472,9.084246113,1,predicted
1896-04,2.051017422,9.088780207,1,predicted
1896-05,2.065162371,9.0933143,1,predicted
1896-06,2.079307321,9.097848394,1,predicted
1896-07,2.093452271,9.102382488,1,predicted
1896-08,2.10759722,9.106916581,1,predicted
1896-09,2.12174217,9.111450675,1,predicted
1896-10,2.13588712,9.115984769,1,predicted
1896-11,2.150032069,9.120518863,1,predicted
1896-12,2.164177019,9.125052956,1,predicted
1897-01,2.178321968,9.12958705,1,predicted
1897-02,2.192466918,9.134121144,1,predicted
1897-03,2.206611868,9.138655237,1,predicted
1897-04,2.220756817,9.143189331,1,predicted
1897-05,2.234901767,9.147723425,1,predicted
1897-06,2.249046717,9.152257519,1,predicted
1897-07,2.263191666,9.156791612,1,predicted
1897-08,2.277336616,9.161325706,1,predicted
1897-09,2.291481565,9.1658598,1,predicted
1897-10,2.305626515,9.170393893,1,predicted
1897-11,2.319771465,9.174927987,1,predicted
1897-12,2.333916414,9.179462081,1,predicted
1898-01,2.348061364,9.183996175,1,predicted
1898-02,2.362206314,9.188530268,1,predicted
1898-03,2.376351263,9.193064362,1,predicted
1898-04,2.390496213,9.197598456,1,predicted
1898-05,2.404641162,9.202132549,1,predicted
1898-06,2.418786112,9.206666643,1,predicted
1898-07,2.432931062,9.211200737,1,predicted
1898-08,2.447076011,9.215734831,1,predicted
1898-09,2.461220961,9.220268924,1,predicted
1898-10,2.475365911,9.224803018,1,predicted
1898-11,2.48951086,9.229337112,1,predicted
1898-12,2.50365581,9.233871205,1,predicted
1899-01,2.517800759,9.238405299,1,predicted
1899-02,2.531945709,9.242939393,1,predicted
1899-03,2.546090659,9.247473487,1,predicted
1899-04,2.560235608,9.25200758,1,predicted
1899-05,2.574380558,9.256541674,1,predicted
1899-06,2.588525508,9.261075768,1,predicted
1899-07,2.602670457,9.265609861,1,predicted
1899-08,2.616815407,9.270143955,1,predicted
1899-09,2.630960357,9.274678049,1,predicted
1899-10,2.645105306,9.279212143,1,predicted
1899-11,2.659250256,9.283746236,1,predicted
1899-12,2.673395205,9.28828033,1,predicted
1900-01,2.687540155,9.292814424,1,predicted
1900-02,2.701685105,9.297348517,1,predicted
1900-03,2.715830054,9.301882611,1,predicted
