SVM,REG
"(159.77047494989552, 179.80922325506344, 223.0293409515644, 242.83873238065294, 286.6044172445479, 311.3925524642004, 351.67972977331453, 318.80793237655234, 251.38933324302377, 215.6634765507339, 156.64976355431637, 138.62738016160375)","(171.47219770349764, 169.9721418759466, 227.92022797717584, 246.3181591877708, 291.96579875664827, 323.6859296960304, 356.8556395512662, 338.4978529287451, 274.4726676587651, 220.53213333450742, 146.45126501356063, 152.0184560247966)"
"(159.71508640842302, 179.85728397485644, 223.00346646130967, 242.85474157366713, 286.45636868528794, 311.2304486026939, 351.64508345081293, 318.7076607865316, 251.34079053131887, 215.6889040644645, 156.67306194776964, 138.53595869326912)","(171.63254332358846, 169.84573817406923, 228.00510522700856, 246.36272753689548, 292.0961040470572, 323.8879074354549, 356.9800500158501, 338.85703691310636, 274.79686220985525, 220.60557025113593, 146.32867730971083, 152.19056188580885)"
"(159.66398618130287, 179.90422414076457, 222.9801678147829, 242.86873956138328, 286.31543943945434, 311.07754379490655, 351.6116871966625, 318.61385484996805, 251.29640478080077, 215.71370718016632, 156.69611070619007, 138.44946719296888)","(171.79288894367934, 169.7193344721919, 228.08998247684124, 246.40729588602022, 292.2264093374662, 324.0898851748794, 357.10446048043394, 339.2162208974675, 275.1210567609453, 220.67900716776444, 146.20608960586102, 152.36266774682116)"
"(159.61701467909597, 179.94977875230688, 222.95926329075036, 242.880894309869, 286.1819148064575, 310.93395363525246, 351.57965149271337, 318.526397827977, 251.2559820254962, 215.73768976634372, 156.71866815816514, 138.3679557215878)","(171.95323456377022, 169.59293077031452, 228.17485972667393, 246.45186423514494, 292.356714627875, 324.29186291430386, 357.2288709450178, 339.5754048818288, 275.44525131203545, 220.75244408439295, 146.0835019020112, 152.53477360783342)"
"(159.57399288545867, 179.99372140558984, 222.94057272205683, 242.89137091576657, 286.0559816550388, 310.79969103242945, 351.54906565501784, 318.4451365754029, 251.21931413339934, 215.76069377229686, 156.7405340738002, 138.29143054116082)","(172.1135801838611, 169.46652706843716, 228.25973697650662, 246.49643258426966, 292.487019918284, 324.4938406537283, 357.35328140960166, 339.93458886619004, 275.7694458631256, 220.82588100102146, 145.9609141981614, 152.70687946884573)"
"(159.53472692906922, 180.03586403079817, 222.92391946078453, 242.90032988026428, 285.93773569715916, 310.6746772596703, 351.51999835036, 318.369886336107, 251.1861829148819, 215.78259638474339, 156.7615469240496, 138.21985762633244)","(172.27392580395198, 169.34012336655982, 228.34461422633933, 246.5410009333944, 292.61732520869293, 324.69581839315276, 357.4776918741855, 340.2937728505513, 276.09364041421577, 220.89931791764997, 145.8383264943116, 152.87898532985804)"
"(159.49901228608218, 180.07605596123415, 222.90913203334418, 242.90792565136562, 285.8271894255428, 310.5587531218847, 351.49249841608764, 318.30043547958303, 251.15636391841667, 215.80330698382068, 156.78158084823062, 138.15316643207657)","(172.43427142404286, 169.21371966468246, 228.42949147617202, 246.5855692825191, 292.7476304991019, 324.89779613257724, 357.6021023387693, 340.6529568349126, 276.4178349653058, 220.97275483427848, 145.71573879046176, 153.0510911908703)"
"(159.46663758976737, 180.1141824252953, 222.89604549666862, 242.91430543118864, 285.7242805050103, 310.45169003779824, 351.4665959364497, 318.2365501192567, 251.12962987964167, 215.82276397821764, 156.80054242856943, 138.09125383625428)","(172.59461704413374, 169.0873159628051, 228.5143687260047, 246.63013763164383, 292.87793578951084, 325.0997738720017, 357.7265128033532, 341.0121408192737, 276.742029516396, 221.04619175090698, 145.59315108661195, 153.2231970518826)"
"(159.43738803479047, 180.15016255611553, 222.88450251145719, 242.9196082396757, 285.6288804201459, 310.3532008593375, 351.4423035280738, 318.1779785595023, 251.1057538013068, 215.84093159207927, 156.81836736121852, 138.0339881785191)","(172.75496266422462, 168.96091226092776, 228.5992459758374, 246.67470598076855, 293.0082410799197, 325.30175161142614, 357.850923267937, 341.371324803635, 277.06622406748613, 221.1196286675355, 145.47056338276215, 153.39530291289492)"
"(159.41104837321097, 180.18394701411313, 222.87435415217558, 242.92396422155895, 285.5408031974941, 310.262950275779, 351.4196177877968, 318.1244555255095, 251.08451165231642, 215.85779666841032, 156.8350171029776, 137.9812133215788)","(172.9153082843155, 168.8345085590504, 228.6841232256701, 246.71927432989327, 293.13854637032864, 325.5037293508506, 357.9753337325209, 341.73050878799626, 277.3904186185763, 221.193065584164, 145.34797567891232, 153.56740877390718)"
"(159.38740550763484, 180.21551531570196, 222.8654604762893, 242.92749417974326, 285.45981403863215, 310.18056467584387, 351.39852085765995, 318.0757061375119, 251.0656846837231, 215.87336554526277, 156.85047556231208, 137.93275266664273)","(173.07565390440638, 168.70810485717303, 228.7690004755028, 246.763842679018, 293.2688516607376, 325.7057070902751, 358.0997441971047, 342.0896927723575, 277.71461316966645, 221.2665025007925, 145.22538797506252, 153.7395146349195)"
