DULUTH,NEW ORLEANS,SHREVEPORT,mean_col
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(173, 164, 190, 250, 298, 281, 292, 295, 233, 270, 212, 123, 2780)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(173.0, 164.0, 190.0, 250.0, 298.0, 281.0, 292.0, 295.0, 233.0, 270.0, 212.0, 123.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(230, 118, 196, 228, 301, 240, 251, 236, 273, 275, 222, 138, 2708)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(230.0, 118.0, 196.0, 228.0, 301.0, 240.0, 251.0, 236.0, 273.0, 275.0, 222.0, 138.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(160, 189, 165, 283, 316, 282, 259, 272, 162, 288, 233, 157, 2766)","(198, 227, 195, 295, 312, 358, 391, 376, 199, 276, 226, 132, 3185)","(179.0, 208.0, 180.0, 289.0, 314.0, 320.0, 325.0, 324.0, 180.5, 282.0, 229.5, 144.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(165, 161, 203, 221, 312, 296, 287, 284, 259, 327, 164, 183, 2862)","(147, 115, 211, 274, 271, 369, 387, 326, 301, 323, 175, 146, 3045)","(156.0, 138.0, 207.0, 247.5, 291.5, 332.5, 337.0, 305.0, 280.0, 325.0, 169.5, 164.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(202, 144, 202, 248, 334, 314, 206, 265, 254, 252, 218, 165, 2804)","(178, 121, 200, 265, 321, 296, 320, 323, 296, 251, 211, 138, 2920)","(190.0, 132.5, 201.0, 256.5, 327.5, 305.0, 263.0, 294.0, 275.0, 251.5, 214.5, 151.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(123, 176, 244, 284, 259, 267, 275, 300, 197, 300, 160, 193, 2778)","(111, 181, 238, 274, 262, 318, 322, 315, 254, 261, 151, 188, 2875)","(117.0, 178.5, 241.0, 279.0, 260.5, 292.5, 298.5, 307.5, 225.5, 280.5, 155.5, 190.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(108, 191, 195, 219, 286, 289, 358, 266, 279, 278, 128, 135, 2732)","(106, 217, 234, 229, 307, 358, 385, 354, 320, 302, 183, 166, 3161)","(107.0, 204.0, 214.5, 224.0, 296.5, 323.5, 371.5, 310.0, 299.5, 290.0, 155.5, 150.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(174, 104, 165, 281, 329, 314, 274, 251, 199, 258, 159, 126, 2634)","(148, 102, 217, 305, 318, 374, 361, 358, 311, 267, 165, 166, 3092)","(161.0, 103.0, 191.0, 293.0, 323.5, 344.0, 317.5, 304.5, 255.0, 262.5, 162.0, 146.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(203, 84, 235, 251, 349, 271, 209, 222, 179, 143, 275, 145, 2566)","(89, 130, 194, 177, 307, 288, 286, 302, 284, 156, 283, 139, 2635)","(146.0, 107.0, 214.5, 214.0, 328.0, 279.5, 247.5, 262.0, 231.5, 149.5, 279.0, 142.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(123, 169, 206, 222, 223, 217, 165, 237, 217, 282, 223, 152, 2436)","(53, 146, 226, 227, 327, 341, 323, 327, 243, 279, 203, 153, 2848)","(88.0, 157.5, 216.0, 224.5, 275.0, 279.0, 244.0, 282.0, 230.0, 280.5, 213.0, 152.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(157, 163, 156, 247, 316, 238, 228, 290, 151, 292, 213, 166, 2617)","(188, 155, 161, 237, 321, 280, 365, 386, 288, 266, 176, 172, 2995)","(172.5, 159.0, 158.5, 242.0, 318.5, 259.0, 296.5, 338.0, 219.5, 279.0, 194.5, 169.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(167, 158, 211, 300, 315, 337, 285, 311, 254, 329, 201, 166, 3034)","(142, 161, 235, 253, 306, 385, 344, 331, 299, 329, 194, 204, 3183)","(154.5, 159.5, 223.0, 276.5, 310.5, 361.0, 314.5, 321.0, 276.5, 329.0, 197.5, 185.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(201, 157, 221, 275, 308, 286, 258, 260, 309, 299, 187, 131, 2892)","(204, 178, 205, 248, 260, 381, 301, 260, 322, 291, 211, 163, 3024)","(202.5, 167.5, 213.0, 261.5, 284.0, 333.5, 279.5, 260.0, 315.5, 295.0, 199.0, 147.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(160, 243, 239, 255, 268, 312, 246, 310, 261, 251, 215, 173, 2933)","(116, 256, 232, 270, 279, 368, 312, 348, 303, 257, 278, 203, 3222)","(138.0, 249.5, 235.5, 262.5, 273.5, 340.0, 279.0, 329.0, 282.0, 254.0, 246.5, 188.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(149, 136, 231, 234, 318, 321, 238, 268, 214, 294, 159, 140, 2702)","(176, 140, 210, 228, 272, 340, 312, 276, 322, 330, 207, 189, 3002)","(162.5, 138.0, 220.5, 231.0, 295.0, 330.5, 275.0, 272.0, 268.0, 312.0, 183.0, 164.5)"
