SVM,REG
"(164.36803517056302, 168.75166302795216, 218.24854433785794, 247.54132810176353, 286.95402727687093, 318.14916044313657, 330.6525155495921, 308.33660716941495, 258.3764552644428, 238.4667621785597, 174.99691336653325, 150.70244988065105)","(180.37862623718786, 186.6994254341165, 239.97608009580506, 266.7464149730549, 312.678255697228, 329.959539026452, 351.33060688246275, 318.3698941565989, 258.35264529252225, 234.3946792997781, 162.71209476594697, 158.51658509739002)"
"(164.22348999971126, 168.62072583270825, 218.10150591950065, 247.40487219304975, 286.74238525699957, 318.0030798711961, 330.41880817495667, 308.21588587402204, 258.2867502196293, 238.4606025709363, 175.04717051850332, 150.67232031073485)","(180.70181122538838, 186.98880490296222, 240.32139612905507, 267.1008218273397, 313.06782545524993, 330.2201477580923, 351.69213034060084, 318.5714055510549, 258.3592598886971, 234.39203858617168, 162.57418407241732, 158.63657505899755)"
"(164.08709953009244, 168.49891372404522, 217.96405309692693, 247.2771816850064, 286.54420228725706, 317.8671875555728, 330.19807071509734, 308.10199659820813, 258.1998833642716, 238.4560151177375, 175.09618288739182, 150.6441643334721)","(181.0249962135888, 187.27818437180804, 240.66671216230498, 267.4552286816245, 313.45739521327187, 330.48075648973264, 352.05365379873905, 318.7729169455109, 258.36587448487194, 234.38939787256524, 162.43627337888768, 158.7565650206051)"
"(163.95893077466104, 168.3860345357216, 217.83606978414173, 247.1581734854952, 286.35936339436904, 317.7412634221206, 329.99051464502, 307.9950211396815, 258.1163216016737, 238.45282927815873, 175.14369100385449, 150.6179682393251)","(181.34818120178932, 187.56756384065375, 241.012028195555, 267.80963553590925, 313.8469649712938, 330.741365221373, 352.41517725687714, 318.9744283399669, 258.3724890810468, 234.38675715895883, 162.29836268535803, 158.87655498221267)"
"(163.8389713584265, 168.28183583534832, 217.71736691746923, 247.04769371207138, 286.1876452930434, 317.62502091061975, 329.79620257903395, 307.8949681930573, 258.0364408049746, 238.45087723131442, 175.1894748042862, 150.59370009728735)","(181.67136618998984, 187.85694330949946, 241.357344228805, 268.16404239019414, 314.23653472931574, 331.0019739530133, 352.77670071501535, 319.17593973442285, 258.3791036772216, 234.3841164453524, 162.16045199182838, 158.99654494382023)"
"(163.7271375907161, 168.1860145712595, 217.6076924598231, 246.94552720440333, 286.02873046790364, 317.5181177591159, 329.61506315489675, 307.8017806632484, 257.96053084659536, 238.44999630766898, 175.23335285659886, 150.57131226559292)","(181.99455117819025, 188.14632277834528, 241.7026602620549, 268.5184492444789, 314.62610448733756, 331.2625826846535, 353.13822417315345, 319.3774511288789, 258.3857182733965, 234.38147573174598, 162.0225412982988, 159.11653490542776)"
"(163.62328269100854, 168.0982263410817, 217.5067411960195, 246.8514068599602, 285.88222106721804, 317.42016635303276, 329.446906320581, 307.7153432003146, 257.8888014882481, 238.45003102263172, 175.27518104863904, 150.5507438516337)","(182.31773616639077, 188.435702247191, 242.04797629530492, 268.8728560987637, 315.0156742453595, 331.52319141629386, 353.49974763129154, 319.57896252333484, 258.3923328695713, 234.37883501813954, 161.88463060476914, 159.2365248670353)"
"(163.52720502516487, 168.01809417400702, 217.41416418350232, 246.76502265610748, 285.74765239928314, 317.33074351643626, 329.29143871501157, 307.63548980179826, 257.8213889188662, 238.45083471645935, 175.31485081397415, 150.5319230829713)","(182.6409211545913, 188.7250817160368, 242.39329232855482, 269.2272629530486, 315.4052440033814, 331.7838001479342, 353.86127108942975, 319.7804739177908, 258.3989474657462, 234.37619430453313, 161.7467199112395, 159.35651482864287)"
"(163.4386562224387, 167.94521674000524, 217.32957774383783, 246.68603024339836, 285.6245058528065, 317.24939964793754, 329.14827886572743, 307.56201134314745, 257.7583627384248, 238.4522708136942, 175.35228697245566, 150.5147695575286)","(182.9641061427917, 189.01446118488252, 242.73860836180484, 269.58166980733336, 315.79481376140336, 332.0444088795745, 354.22279454756784, 319.9819853122468, 258.405562061921, 234.3735535909267, 161.60880921770985, 159.47650479025043)"
"(163.35734905852257, 167.8791759198324, 217.2525719014417, 246.61405901648857, 285.5122210935478, 317.17566712793507, 329.0169719607517, 307.49466291307493, 257.6997331998895, 238.45421372301064, 175.3874452635801, 150.49919634729468)","(183.28729113099223, 189.30384065372834, 243.08392439505485, 269.93607666161813, 316.1843835194252, 332.30501761121485, 354.58431800570605, 320.1834967067028, 258.41217665809586, 234.37091287732028, 161.4708985241802, 159.59649475185796)"
"(163.28296500562712, 167.8195436893096, 217.18271819672827, 246.54871959021523, 285.41020742005594, 317.1090679467423, 328.89700398787437, 307.4331708480304, 257.64545853865053, 238.45654940448958, 175.42030964938328, 150.48511193599427)","(183.61047611919275, 189.59322012257405, 243.42924042830475, 270.2904835159029, 316.5739532774471, 332.56562634285507, 354.94584146384415, 320.3850081011588, 258.4187912542707, 234.36827216371384, 161.33298783065055, 159.71648471346552)"
