SVM,REG
"(163.0285553658384, 184.36668140675997, 246.5429945231085, 296.60374399089557, 325.027186037325, 338.39187290121697, 357.72757243946546, 331.4255241460416, 290.56375210083746, 256.4682297309727, 194.47327411970107, 161.104681498464)","(172.85266809904545, 204.8106853404248, 277.80600947483356, 318.35195915959275, 357.5927461167271, 350.01572250008803, 384.7653989820718, 354.07037846500646, 306.0182662639569, 257.5104946109683, 181.3086606671128, 150.33442974886407)"
"(163.07825151227308, 184.37164915240245, 246.45642293374638, 296.42120236505764, 324.87808439595483, 338.2826711313282, 357.55605166057825, 331.27603002696134, 290.49118364431877, 256.40614385439466, 194.5472846064861, 161.14345289320374)","(172.92731244056213, 205.08720272269386, 278.2533457785918, 318.8420560212743, 358.12422774822994, 350.20356644711353, 385.1811895495051, 354.42128482617727, 306.2496000493114, 257.55093665246034, 181.06599424113273, 150.12531101405375)"
"(163.12626345188536, 184.37632926424973, 246.3745633820487, 296.2510858067057, 324.73952225793676, 338.1801428381249, 357.39623216387486, 331.13535140805163, 290.4229479445752, 256.348505950788, 194.61701459307153, 161.18176418952265)","(173.00195678207882, 205.3637201049629, 278.70068208235, 319.3321528829558, 358.655709379733, 350.391410394139, 385.5969801169384, 354.7721911873481, 306.4809338346659, 257.5913786939523, 180.82332781515265, 149.91619227924343)"
"(163.17231550641756, 184.380662801205, 246.2974659028508, 296.09310783611903, 324.61124307770257, 338.084306707829, 357.24790588272145, 331.00351187035295, 290.3590423258177, 256.295176026194, 194.68246897229955, 161.21931877092226)","(173.07660112359548, 205.64023748723196, 279.1480183861082, 319.82224974463736, 359.1871910112359, 350.57925434116447, 386.01277068437184, 355.1230975485189, 306.71226762002044, 257.63182073544436, 180.58066138917258, 149.70707354443306)"
"(163.2161909210294, 184.3846103957804, 246.22513683183396, 295.9469146133476, 324.4929286801578, 337.9951144596733, 357.1107840858326, 330.8804557272467, 290.299428483549, 256.2459961916123, 194.7436841905377, 161.25585933355853)","(173.15124546511217, 205.9167548695009, 279.59535468986655, 320.3123466063189, 359.71867264273874, 350.7670982881899, 386.42856125180515, 355.4740039096897, 306.9436014053749, 257.67226277693635, 180.3379949631925, 149.49795480962274)"
"(163.25772773566763, 184.3881495573018, 246.1575425544112, 295.8120951616163, 324.3842092219237, 337.9124585391563, 356.98450910182703, 330.76605596132043, 290.2440358852149, 256.2007938115608, 194.8007255371432, 161.2911675655573)","(173.22588980662886, 206.19327225176994, 280.0426909936248, 320.80244346800043, 360.2501542742418, 350.95494223521536, 386.84435181923845, 355.8249102708604, 307.17493519072946, 257.7127048184284, 180.09532853721248, 149.28883607481242)"
"(163.29681422792905, 184.39127205962285, 246.09461346001862, 295.68819129591964, 324.2846728157057, 337.83617989030296, 356.86866579372446, 330.6601224670272, 290.19276536328545, 256.1593845332065, 194.85368424166919, 161.32506316844982)","(173.30053414814552, 206.469789634039, 280.490027297383, 321.29254032968186, 360.7816359057447, 351.14278618224085, 387.2601423866719, 356.17581663203123, 307.406268976084, 257.75314685992043, 179.8526621112324, 149.0797173400021)"
"(163.33338406907845, 184.39398145918994, 246.03624802329352, 295.5747071433765, 324.19387469905945, 337.76607565969994, 356.762792618002, 330.5624104249113, 290.14549281785537, 256.12157516813676, 194.90267444089827, 161.3574023162389)","(173.3751784896622, 206.74630701630804, 280.9373636011412, 321.7826371913634, 361.31311753724776, 351.3306301292663, 387.6759329541052, 356.52672299320204, 307.6376027614385, 257.7935889014125, 179.60999568525233, 148.8705986051918)"
"(163.36741132391856, 184.3962907795064, 245.98231693733572, 295.47111815870966, 324.1113458492341, 337.70190670217323, 356.66639212794064, 330.47262864711166, 290.1020729510195, 256.08716640259087, 194.9478300761987, 161.38807564887406)","(173.4498228311789, 207.0228243985771, 281.38469990489943, 322.2727340530449, 361.8445991687506, 351.5184740762918, 388.0917235215385, 356.87762935437286, 307.868936546793, 257.83403094290446, 179.36732925927225, 148.66147987038147)"
"(163.39890541235965, 184.3982203886453, 245.93266722931807, 295.3768795553769, 324.0366009662063, 337.6434047763095, 356.57894080661055, 330.39044775024945, 290.06234296191315, 256.0559553160151, 194.98930177870898, 161.41700589573742)","(173.52446717269555, 207.29934178084613, 281.83203620865766, 322.76283091472646, 362.3760808002535, 351.70631802331724, 388.5075140889719, 357.22853571554367, 308.1002703321475, 257.8744729843965, 179.12466283329223, 148.4523611355711)"
